DDIEM_ID,DIVNAME,DISTNAME,Upazila,PolderName
1,Barisal,Barguna,Amtali,
2,Barisal,Barguna,Bamna,
3,Barisal,Barguna,Barguna Sadar,
4,Barisal,Barguna,Betagi,
5,Barisal,Barguna,Patharghata,
6,Barisal,Barisal,Agailjhara,
7,Barisal,Barisal,Babuganj,
8,Barisal,Barisal,Bakerganj,
9,Barisal,Barisal,Banari Para,
10,Barisal,Barisal,Barisal Sadar (Kotwali),
11,Barisal,Barisal,Gaurnadi,
12,Barisal,Barisal,Hizla,
13,Barisal,Barisal,Mehendiganj,
14,Barisal,Barisal,Muladi,
15,Barisal,Barisal,Wazirpur,
16,Barisal,Bhola,Bhola Sadar,
17,Barisal,Bhola,Burhanuddin,
18,Barisal,Bhola,Char Fasson,
19,Barisal,Bhola,Daulatkhan,
20,Barisal,Bhola,Lalmohan,
21,Barisal,Bhola,Manpura,
22,Barisal,Bhola,Tazumuddin,
23,Barisal,Jhalokati,Jhalokati Sadar,
24,Barisal,Jhalokati,Kanthalia,
25,Barisal,Jhalokati,Nalchity,
26,Barisal,Jhalokati,Rajapur,
27,Barisal,Patuakhali,Bauphal,
28,Barisal,Patuakhali,Dashmina,
29,Barisal,Patuakhali,Dumki,
30,Barisal,Patuakhali,Galachipa,
31,Barisal,Patuakhali,Kala Para,
32,Barisal,Patuakhali,Mirzaganj,
33,Barisal,Patuakhali,Patuakhali Sadar,
34,Barisal,Pirojpur,Bhandaria,
35,Barisal,Pirojpur,Kawkhali,
36,Barisal,Pirojpur,Mathbaria,
37,Barisal,Pirojpur,Nazirpur,
38,Barisal,Pirojpur,Nesarabad (Swarupkati),
39,Barisal,Pirojpur,Pirojpur Sadar,
40,Barisal,Pirojpur,Zianagar,
41,Chittagong,Chandpur,Chandpur Sadar,
42,Chittagong,Chandpur,Faridganj,
43,Chittagong,Chandpur,Haim Char,
44,Chittagong,Chandpur,Hajiganj,
45,Chittagong,Chandpur,Kachua,
46,Chittagong,Chandpur,Matlab Dakshin,
47,Chittagong,Chandpur,Matlab Uttar,
48,Chittagong,Chandpur,Shahrasti,
49,Chittagong,Chittagong,Anowara,
50,Chittagong,Chittagong,Banshkhali,
51,Chittagong,Chittagong,Boalkhali,
52,Chittagong,Chittagong,Chandanaish,
54,Chittagong,Chittagong,Fatikchhari,
55,Chittagong,Chittagong,Hathazari,
53,Chittagong,Chittagong,Chittagong City Corporation,
56,Chittagong,Chittagong,Lohagara,
57,Chittagong,Chittagong,Mirsharai,
58,Chittagong,Chittagong,Patiya,
59,Chittagong,Chittagong,Rangunia,
60,Chittagong,Chittagong,Raozan,
61,Chittagong,Chittagong,Sandwip,
62,Chittagong,Chittagong,Satkania,
63,Chittagong,Chittagong,Sitakunda,
64,Chittagong,Cox'S Bazar,Chakaria,
65,Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,
66,Chittagong,Cox'S Bazar,Kutubdia,
67,Chittagong,Cox'S Bazar,Maheshkhali,
68,Chittagong,Cox'S Bazar,Pekua,
69,Chittagong,Cox'S Bazar,Ramu,
70,Chittagong,Cox'S Bazar,Teknaf,
71,Chittagong,Cox'S Bazar,Ukhia,
72,Chittagong,Feni,Chhagalnaiya,
73,Chittagong,Feni,Daganbhuiyan,
74,Chittagong,Feni,Feni Sadar,
75,Chittagong,Feni,Fulgazi,
76,Chittagong,Feni,Parshuram,
77,Chittagong,Feni,Sonagazi,
78,Chittagong,Lakshmipur,Kamalnagar,
79,Chittagong,Lakshmipur,Lakshmipur Sadar,
80,Chittagong,Lakshmipur,Ramganj,
81,Chittagong,Lakshmipur,Ramgati,
82,Chittagong,Lakshmipur,Roypur,
83,Chittagong,Noakhali,Begumganj,
84,Chittagong,Noakhali,Chatkhil,
85,Chittagong,Noakhali,Companiganj,
86,Chittagong,Noakhali,Hatiya,
87,Chittagong,Noakhali,Kabirhat,
88,Chittagong,Noakhali,Noakhali Sadar (Sudharam),
89,Chittagong,Noakhali,Senbagh,
90,Chittagong,Noakhali,Sonaimuri,
91,Chittagong,Noakhali,Subarnachar,
92,Dhaka,Gopalganj,Gopalganj Sadar,
93,Dhaka,Gopalganj,Kashiani,
94,Dhaka,Gopalganj,Kotali Para,
95,Dhaka,Gopalganj,Muksudpur,
96,Dhaka,Gopalganj,Tungi Para,
97,Dhaka,Shariatpur,Bhedarganj,
98,Dhaka,Shariatpur,Damudya,
99,Dhaka,Shariatpur,Gosairhat,
100,Dhaka,Shariatpur,Naria,
101,Dhaka,Shariatpur,Shariatpur Sadar,
102,Dhaka,Shariatpur,Zanjira,
103,Khulna,Bagerhat,Bagerhat Sadar,
104,Khulna,Bagerhat,Chitalmari,
105,Khulna,Bagerhat,Fakirhat,
106,Khulna,Bagerhat,Kachua,
107,Khulna,Bagerhat,Mollahat,
108,Khulna,Bagerhat,Mongla,
109,Khulna,Bagerhat,Morrelganj,
110,Khulna,Bagerhat,Rampal,
111,Khulna,Bagerhat,Sarankhola,
112,Khulna,Jessore,Abhaynagar,
113,Khulna,Jessore,Bagher Para,
114,Khulna,Jessore,Chaugachha,
115,Khulna,Jessore,Jhikargachha,
116,Khulna,Jessore,Keshabpur,
117,Khulna,Jessore,Kotwali,
118,Khulna,Jessore,Manirampur,
119,Khulna,Jessore,Sharsha,
120,Khulna,Khulna,Batiaghata,
121,Khulna,Khulna,Dacope,
124,Khulna,Khulna,Khulna City Corporation,
122,Khulna,Khulna,Dighalia,
123,Khulna,Khulna,Dumuria,
125,Khulna,Khulna,Koyra,
126,Khulna,Khulna,Paikgachha,
127,Khulna,Khulna,Phultala,
128,Khulna,Khulna,Rupsa,
129,Khulna,Khulna,Terokhada,
130,Khulna,Narail,Kalia,
131,Khulna,Narail,Lohagara,
132,Khulna,Narail,Narail Sadar,
133,Khulna,Satkhira,Assasuni,
134,Khulna,Satkhira,Debhata,
135,Khulna,Satkhira,Kalaroa,
136,Khulna,Satkhira,Kaliganj,
137,Khulna,Satkhira,Satkhira Sadar,
138,Khulna,Satkhira,Shyamnagar,
139,Khulna,Satkhira,Tala,
